STT,Tên doanh nghiệp,Tên viết tắt,Loại hình doanh nghiệp,Lĩnh vực hoạt động,Vốn điều lệ (VND),Website,Điện thoại,Fax,Địa chỉ trụ sở,Tên người đại diện theo pháp luật,Đơn vị XHTN gần nhất,Kết quả XHTN gần nhất,Ngày hiệu lực
247,ENOC - CÔNG TY CỔ PHẦN NĂNG LƯỢNG ĐẠI DƯƠNG,"ENOC.,JSC",Công ty cổ phần,Xây dựng,60000000000.0,0,0888 192 499,0,"Số 7, Ngách 49, Ngõ 178, Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội",,,,
248,ENTC - CTCP Đầu tư Du lịch Eurowindow Nha Trang,"Eurowindow NhaTrang., SJC",Công ty cổ phần,Bất động sản,2150000000000.0,www.eurowindow-holding.com,058 6250037,0586250023,"146 Lê Hồng Phong, Phường Phước Hải, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",Trịnh Thị Minh Huệ,,,
249,ES1C - CTCP EA SÚP 1,EASUP 1,Công ty cổ phần,Sản xuất,736000000000.0,www.xuanthienvietnam.com,02293 886 886,02293886986,"Nhà máy Điện mặt trời Xuân Thiện Ea Súp, thôn Đoàn, xã Ia Lốp, tỉnh Đắk Lắk, Việt Nam",Mai Xuân Hương,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBBB,12/06/2026
250,ES2C - Công ty cổ phần EA Súp 2,EASUP 2,Công ty cổ phần,Sản xuất,706000000000.0,www.xuanthienvietnam.vn,02293886886,02293886986,"số 109, Hoàng Hoa Thám, Phường Tân Tiến, TP Buôn Mê Thuột, Tỉnh Đắk Lắk",Mai Xuân Hương,,,
251,ES3C - CTCP EA SÚP 3,EASUP 3,Công ty cổ phần,Sản xuất,5531718000000.0,www.xuanthienvietnam.vn,02293886886,02293886986,"Nhà máy Điện mặt trời Xuân Thiện Ea Súp 3, thôn Đoàn, xã Ia Lốp, tỉnh Đắk Lắk, Việt Nam",Nguyễn Huy Hoàng,,,
252,ES5C - CTCP EA SÚP 5,EASUP 5,Công ty cổ phần,Sản xuất,1228000000000.0,www.xuanthienvietnam.vn,02293886886,02293886986,"Nhà máy Điện mặt trời Xuân Thiện Ea Súp, thôn Đoàn, xã Ia Lốp, tỉnh Đắk Lắk, Việt Nam",Nguyễn Huy Hoàng,,,
253,ETCC - CÔNG TY CỔ PHẦN VETC,"VETC.,JSC",Công ty cổ phần,"Thương mại, dịch vụ",747400000000.0,Không có,0437476666,0,"Tầng 11, Tòa nhà Tasco, Lô HH2-2, đường Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam",NGUYỄN LÊ THẮNG,,,
254,ETXC - CÔNG TY CỔ PHẦN CHỨNG KHOÁN DNSE,DNSE Jsc,Công ty cổ phần,Kinh doanh chứng khoán,3300000000000.0,https://www.dnse.com.vn/,02471089234,02471089234,"Tầng 6, tòa nhà Pax Sky, 63 – 65 Ngô Thì Nhậm, phường Phạm Đình Hổ, quận Hai Bà Trưng, thành phố Hà Nội",Phạm Thị Thanh Hoa,,,
255,EUEC - CTCP XỬ LÝ RÁC THẢI VÀ NĂNG LƯỢNG EU,"EU ENER.,JSC",Công ty cổ phần,Lĩnh vực khác,150000000000.0,0,0982354540,0,"TẦNG 6, TÒA NHÀ 77-79 ĐƯỜNG HOÀNG QUỐC VIẾT, PHƯỜNG NGHĨA ĐÔ, QUẬN CẦU GIẤY, HÀ NỘI",,,,
256,EVE - Công ty Cổ phần Everpia,EVE,Công ty cổ phần,Lĩnh vực khác,419797730000.0,info@everon.com,024 3827 6490,024 3827 6492,"Cụm dân cư Nội thương, Dương Xá, Gia Lâm, Hà Nội",,,,
257,EVF - Công ty Tài chính Tổng hợp Cổ phần Điện Lực (Tên cũ: Công ty Tài chính cổ phần Điện Lực),EVF,Công ty cổ phần,Tổ chức tín dụng,7605658020000.0,www.evnfc.vn,02422229999,02422221999,"Tầng 6 và 7, tòa nhà Thaisquare Caliria – số 11A Cát Linh, phường Ô Chợ Dừa, thành phố Hà Nội",Nguyễn Hoàng Hải; Nguyễn Hoàng Hải,Moody's Ratings,B2,30/05/2025
258,EVS - Công ty Cổ phần chứng khoán Everest,EVS,Công ty cổ phần,Kinh doanh chứng khoán,1648006180000.0,https://www.eves.com.vn/,02437726699,02437726763,"Tầng 3, 6, 9 số 2A phố Đại Cồ Việt, phường Hai Bà Trưng, thành phố Hà Nội, Việt Nam",,,,
259,EWHC - Công ty CP Eurowindow Holding,"EUROWINDOW HOLDING .,JSC",Công ty cổ phần,Bất động sản,3000000000000.0,https://eurowindow-holding.com/,02437474700,02437474759,"TẦNG 16, SỐ 2 TÔN THẤT TÙNG, P. KIM LIÊN, Q. ĐỐNG ĐA, HÀ NỘI",Nguyễn Cảnh Sơn,,,
260,F88C - Công ty cổ phần kinh doanh F88,F88 Business JSC,Công ty cổ phần,"Thương mại, dịch vụ",1673185770000.0,www.f88.vn,02473066388,8447306388,"Tầng 8, Toà nhà G-Group Tower, số 5 Nguyễn Thị Duệ, Phường Yên Hoà, Thành Phố Hà Nội, Việt Nam",Phùng Anh Tuấn,Công ty cổ phần FiinRatings (FiinRatings),BBB,10/04/2026
261,FCN - CTCP FECON,FECON CORP,Công ty cổ phần,Xây dựng,1254390050000.0,http://fecon.com.vn,02462690481,02462690484,"Tầng 15 tháp CEO, Lô HH2-1, Khu đô thị Mễ Trì Hạ, đường Phạm Hùng, Nam Từ Liêm, phường Mễ Trì, Q.Nam Từ Liêm, HN",PHẠM VIỆT KHOA,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),BBB-,15/05/2026
262,FDLC - CÔNG TY CỔ PHẦN NGOẠI THƯƠNG VÀ PHÁT TRIỂN ĐẦU TƯ ĐỊA ỐC CHÂU LỤC,FIDECOLAND SJC,Công ty cổ phần,Bất động sản,170000000000.0,Không có,(028) 39149112,(028) 39149113,"81-83-83B-85 Hàm Nghi, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",Vũ Thị Anh Tú,,,
263,FHDC - Công ty Cổ phần Flamingo Holding Group,Flamingo Holding,Công ty cổ phần,Bất động sản,1636000000.0,https://flamingoholdinggroup.vn/,9285628,9285628,"số 24, Tràng Tiền, phường Tràng Tiền, quận Hoàn Kiếm, Hà Nội",Nguyễn Thị Hạnh,,,
264,FHTC - CÔNG TY TNHH FLAMINGO HẢI TIẾN,FLAMINGO HAI TIEN,Công ty trách nhiệm hữu hạn,Bất động sản,680000000000.0,https://flamingoibizahaitien.vn/,02378862888,02378862888,"Khu du lịch sinh thái biển và nghỉ dưỡng Flamingo Linh Trường, thôn Giang Sơn, xã Hoằng Trường, huyện Hoằng Hóa, tỉnh Thanh Hóa, Việt Nam",Lê Thị Vân Anh,,,
265,FLC - Công ty cổ phần tập đoàn FLC,"FLC Group JSC,",Công ty cổ phần,Bất động sản,7099978070000.0,www.flc.vn,02437711111,02437245888,"Tầng 5, Tòa nhà FLC Landmark Tower, đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Bùi Hải Huyền; LÊ TIẾN DŨNG; Vũ Anh Tuân,,,
266,FNFC - Công ty Cổ phần Fuji Nutri Food,FNF,Công ty cổ phần,Bất động sản,500000000000.0,không có,0938479759,0938479759,"65 Nguyễn Du, phường Sài Gòn, TP. Hồ Chí Minh",LÝ TRƯỜNG AN,,,
267,FPTC - Công ty cổ phần Đô thị FPT Đà Nẵng,FCity,Công ty cổ phần,Bất động sản,350000000000.0,https://fptcity.vn/,0236913913,0236913913,"TẦNG 1, TÒA NHÀ FPT, KCN ĐÀ NẴNG , PHƯỜNG AN BẮC HẢI, Q SƠN TRÀ, TP ĐÀ NẴNG",Nguyễn Văn Lộc,,,
268,FSPC - CÔNG TY TNHH DỊCH VỤ DU LỊCH CÁP TREO FANSIPAN SAPA,"FANSIPAN SA PA CO ., LTD",Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",3626019235000.0,https://fansipanlegend.sunworld.vn/,02143865669,0,"Số 89B, Đường Nguyễn Chí Thanh, Phường Phan Si Păng, Thị xã Sa Pa. Tỉnh Lào Cai",PHAN TẤT THẮNG,,,
269,GAIC - Công ty TNHH Tư Vấn Đầu Tư Gia An,GA,Công ty trách nhiệm hữu hạn,Bất động sản,50000000000.0,dautugiaan@gmail.com,02838221745,02838221729,"Số 29A Nguyễn Đình Chiểu, Phường Đa Kao , Quận 1, TP. Hồ Chí Minh , Việt Nam",Nguyễn Bình,,,
270,GANC - Công ty cổ phần tư vấn Gia Ân,Gia Ân,Công ty cổ phần,Bất động sản,260000000000.0,//,02839303366,02839309595,"205/82 Trần Văn Đang, phường 11, quận 3, thành phố Hồ Chí Minh",Nguyễn Quỳnh Giang,,,
271,GCIC - Công ty TNHH Đầu tư Gia Cường,Công ty TNHH Đầu tư Gia Cường,Công ty trách nhiệm hữu hạn,Bất động sản,525000000000.0,none,0974846499,0,"Phòng 703, tầng 7, tòa nhà 362 Phố Huế, phường Phố Huế, quận Hai Bà Trưng, thành phố Hà Nội, Việt Nam",Vũ Đình Chiến,,,
272,GCRC - CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ PHÁT TRIỂN GIA CƯ,GIA CU INVESTMENT DEVELOPMENT COMPANY LIMITED,Công ty trách nhiệm hữu hạn,Bất động sản,550000000000.0,0,(028) 36204800,0,"Số 9A Thạnh Xuân 13, Khu phố 1, Phường Thạnh Xuân, Quận 12, Tp. HCM",,,,
273,GDGC - Công ty Cổ phần Thương mại Dịch vụ Cổng Vàng,GDGC,Công ty cổ phần,Lĩnh vực khác,77081300000.0,https://ggg.com.vn/,024 3722 6354,024 3722 6352,"Số 60, phố Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội",ĐÀO THẾ VINH,,,
274,GDSC - CTCP ĐẦU TƯ NGÔI SAO GIA ĐỊNH,GIADINH STAR JSC,Công ty cổ phần,Bất động sản,190000000000.0,http://ngoisaogiadinh.com/,02837222068,02837220688,"102 Đặng Văn Bi, Phường Bình Thọ, Thành phố Thủ Đức, TP Hồ Chí Minh, Việt Nam",TRẦN QUỐC DŨNG,,,
275,GDUC - Công ty TNHH Bất động sản Gia Đức,"Gia Duc Real Estate Co., Ltd",Công ty trách nhiệm hữu hạn,Bất động sản,2210000000000.0,khong co,0913132213,0932 239 682,"Dự án khu đô thị dịch vụ thương mại cao cấp Cù Lao Phước Hưng - Phân khu 3, khu phố Long Khánh 2, phường Tam Phước, tỉnh Đồng Nai",BÙI ĐẠT CHƯƠNG,,,
276,GEG - Công ty cổ phần Điện Gia Lai,GEC,Công ty cổ phần,Năng lượng,4327165250000.0,geccom.vn,02693823604,02693826365,"114 Trường Chinh, Phường Pleiku, Tỉnh Gia Lai, Việt Nam",,,,
277,GEX - Công ty cổ phần Tập đoàn Gelex,TẬP ĐOÀN GELEX,Công ty cổ phần,Sản xuất,8594297930000.0,http://gelex.vn/,02439726245,02439726282,"52 Lê Đại Hành, q. Hai Bà Trưng, Hà Nội",Nguyễn Văn Tuấn,,,
278,GEXC - CT TNHH MTV ĐẦU TƯ GEX,GEX (HNX),Công ty trách nhiệm hữu hạn,Lĩnh vực khác,800000000000.0,Không có,02083822338,02083822338,"Tổ 4, phường Chùa Hang, TP. Thái Nguyên, tỉnh Thái Nguyên",Nguyễn Việt Anh; Nguyễn Việt Anh,,,
279,GFVC - Công ty cổ phần GreenFeed Việt Nam,GreenFeed VN,Công ty cổ phần,Sản xuất,5125500000000.0,www.greenfeed.com.vn,02723632881,02723633374,"Đường tỉnh 832, Ấp 5 Nhựt Chánh, Xã Bình Đức, Tỉnh Tây Ninh, Việt Nam",,,,
280,GHIC - Công ty Cổ phần Đầu tư Golden Hill,Golden Hill Invest,Công ty cổ phần,Bất động sản,2798000000000.0,congtydautugoldenhill.com,028 39209520,028 39209520,"08 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Trần Thị Bích Phương,,,
281,GHVC - Công ty Cổ phần GreenHill Village,GREENHILL,Công ty cổ phần,Bất động sản,1101573900000.0,http://Www.greenhillvillage.com.vn,0903714588,0243 8812556,"Nhà khách VPCP số 10 Chu Văn An, Quận Ba Đình, Hà Nội",Tạ Hùng Quốc Việt,,,
282,GICC - Công ty Cổ phần Hạ tầng Gelex,Gelex Infrastructure,Công ty cổ phần,Lĩnh vực khác,7900000000000.0,gelex.vn,02473063628,02473063628,"Tòa nhà Gelex, Số 52 Lê Đại Hành, Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội",Lương Thanh Tùng; Lương Thanh Tùng; Nguyễn Hoàng Long,,,
283,GINC - Công ty CP Đầu tư hội nhập Toàn Cầu,GIN,Công ty cổ phần,Xây dựng,50000000000.0,Không có website,0915611119,123456,"Lô đất NO7, khu tái định cư, Phường Giang Biên, Quận Long Biên, Hà Nội",Lương Bích Hường; NGUYỄN THỊ THỦY,,,
284,GKCC - CTCP Đầu tư thương mại dịch vụ Gia Khang,GiaKhang.JSC,Công ty cổ phần,Bất động sản,1700000000000.0,https://kingcrowninfinity.com/,0837221606,0837221606,"218 Võ Văn Ngân, Phường Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Bùi Thiện Phương Đông; Lê Thị Mai Loan; PHẠM THỊ THẢO; PHẠM ĐẠI NGHĨA,,,
285,GKHC - Công ty Cổ phần quản lý và phát triển Gia Khánh,GIA KHANH,Công ty cổ phần,Lĩnh vực khác,350000000000.0,//,028 39303366,0,"30 Nguyễn Thị Diệu, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",NGUYỄN HƯƠNG GIANG,,,
286,GKM - Công ty Cổ phần Khang Minh Group,GKM,Công ty cổ phần,Sản xuất,314342370000.0,khangminhgroup.com,0988951976,02432002988,"Khu công nghiệp Châu Sơn, phường Phù Vân, tỉnh Ninh Bình",Nguyễn Anh Tuấn,,,
287,GLJC - CTCP GALACTIC GROUP,GLJC,Công ty cổ phần,Bất động sản,290000000000.0,gljc.galactic@gmail.com,0938485538,0938485538,"Số 3.01, Lầu 3, Khối tháp V5-V6, Khu chung cư kết hợp thương mại, văn phòng lô V(Sunrise City, Khu South Towers), số 23, Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TP.HCM",Lý Trường An,,,
288,GLTC - CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,LOTAGOLF,Công ty cổ phần,"Thương mại, dịch vụ",6379725000000.0,longthanhgolfresort.com,02516268989,02516268899,"Số 99A, đường Phước Tân - Long Hưng, Phường Phước Tân, Tỉnh Đồng Nai, Việt Nam",,,,
289,GLXC - Tập đoàn Geleximco - Công ty CP,Tập đoàn Geleximco,Công ty cổ phần,Bất động sản,10900000000000.0,www.geleximco.vn,02435 141199,02435 143939,"Số 36, Phố Hoàng Cầu, P. Ô Chợ Dừa, TP. Hà Nội",,,,
290,"GMEC - Công ty cổ phần Galaxy Entertainment Holding (Tên cũ: Công ty cổ phần Giải trí và Giáo dục Galaxy, Công ty cổ phần Truyền thông và Giải trí Galaxy)",Galaxy M&E JSC.,Công ty cổ phần,"Thương mại, dịch vụ",304100410000.0,www.galaxy.com.vn,0982293689,02439746121,"3/9 Võ Văn Tần, Phường Xuân Hòa, Thành phố Hồ Chí Minh( Nơi nhận thư: Tầng 5 Tòa nhà mặt trời sông hồng, số 23 Phan Chu Trinh, Hoàn Kiếm, HN)",ĐINH THỊ THANH HƯƠNG,,,
291,GPHC - CÔNG TY TNHH GREENLAND PHỐ HOA,"GREENLAND PHO HOA CO., LTD",Công ty trách nhiệm hữu hạn,Bất động sản,120000000000.0,none,0983666665,0983666665,"Thôn Tam Hợp, Xã Xuân Cẩm, Tỉnh Bắc Ninh, Việt Nam",Lê Thị Kim Oanh,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),BB-,16/06/2026
292,GPRC - Công ty TNHH Bất động sản Gia Phú,GPRC,Công ty trách nhiệm hữu hạn,Bất động sản,245000000000.0,không,0932239682,0000,"Số 315 Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh, Việt Nam",Điền Hòa Anh Kiệt,,,
293,GREC - Công ty Cổ phần Bất động sản Greenwich,GREENWICH REAL ESTATE JSC,Công ty cổ phần,Bất động sản,400000000.0,greenwichbonds@gmail.com,0898323356,(08) 377 52 999,"Số 2.50, Tầng 2, Khu Thương mại – Dịch vụ, kỹ thuật, Trung tâm Thương mại, văn phòng, officetel và căn hộ (RiverGate Residence) tại số 151 – 155 Bến Vân Đồn, Phường 06, Quận 4, Thành phố Hồ Chí Minh, Việt Nam.",Lê Thị Hồng Xuân,,,
294,GRLC - Công ty TNHH Đầu tư và Phát triển Bất động sản Green Land,"Green Land Real Estate Development and Investment CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,2860000000000.0,landhcm79@gmail.com,0938 48 53 58,0938 48 53 58,"65 Nguyễn Du, Phường Sài Gòn, TP Hồ Chí Minh, Việt Nam",Bùi Đạt Chương,,,
295,GSPC - CTCP In và Bao bì Goldsun,GSP,Công ty cổ phần,Sản xuất,246600000000.0,www.goldsunpackaging.vn,024 38371191,024 37641019,Khu CN Phú Minh -Phường Đông Ngạc- Hà Nội,,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBBB-,30/10/2025
296,GTLC - Công ty cổ phần GOTEC LAND,"GOTEC LAND JOINT.,JSC",Công ty cổ phần,Bất động sản,400000000000.0,www.gotecland.vn,2513680999,2513680999,"296, Võ Thị Sáu, KP 7, Phường Thống Nhất, Thành phố Biên Hòa, tỉnh Đồng Nai",,,,
297,GTPC - Công ty CP Tập đoàn Tiến Phước,Tien Phuoc Group,Công ty cổ phần,Lĩnh vực khác,547380000000.0,Chưa có,02838380303,028 3924 6129,"542 Trần Hưng Đạo, Phường 2, Quận 5, TP.HCM",,,,
298,GVIC - Công ty cổ phần GVI,GVI SJC,Công ty cổ phần,Lĩnh vực khác,180000000000.0,https://gvigroup.com.vn/,02432020201,-,"Tầng 18, số 52 phố Lê Đại Hành, phường Lê Đại Hành, quận Hai Bà Trưng, Hà Nội",,,,
299,GWBC - Công ty TNHH GATEWAY BERKELEY,"GATEWAY BERKELEY CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,1200000000000.0,gatewayberkeley.com.vn,02838231564,02838231565,"177 Xa lộ Hà Nội, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Bùi Thị Phương Hiền,,,
300,GWGC - CTCP GOODWILL GROUP,GOODWILL GROUP JSC,Công ty cổ phần,Bất động sản,250000000000.0,không có,0938485358,0938485358,"Số 2.01 tầng 2, Khu Thương mại - Dịch vụ, Dự án Khu thương mại dịch vụ văn phòng, officetel và căn hộ tại số 08 đường Hoàng Minh Giám, phường 09, quận Phú Nhuận, TP Hồ Chí Minh",Bùi Trọng Nghĩa,,,
301,H39C - Công ty Cổ phần Hưng Thịnh Investment,H39C,Công ty cổ phần,Bất động sản,2779000000000.0,http://....,02873075888,0,"53 Trần Quốc Thảo, Phường Xuân Hòa, TP. Hồ Chí Minh",ĐẶNG NGỌC MINH HUY,,,
302,H79C - CTCP Hưng Thịnh Land,HUNG THINH LAND,Công ty cổ phần,Bất động sản,9852800000000.0,www.hungthinhland.com,02873075888,02838249545,"53 Trần Quốc Thảo, Phường Xuân Hòa, TP Hồ Chí Minh",Nguyễn Văn Cường,,,
303,HAAC - Công ty cổ phần BLUEMARQ Development (Tên cũ:Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An),CONG TY CP DT KD BAT DONG SAN HA AN,Công ty cổ phần,Bất động sản,11477500000000.0,datxanh.vn,02862525252,02862853978,"Số 18 đường Kha Vạn Cân, p. An Bình, Tp. Dĩ An, tỉnh Bình Dương",Lê Văn Hưng; NGUYỄN TUẤN ANH; Ngô Quang Ninh,,,
304,HAG - Công ty cổ phần Hoàng Anh Gia Lai,Công ty cổ phần Hoàng Anh Gia Lai,Công ty cổ phần,Lĩnh vực khác,12674679470000.0,www.hagl.com.vn,02692225888,02692222335,"15, Trường Chinh, phường Phù Đổng, Tp.Pleiku, tỉnh Gia Lai",Nguyễn Xuân Thắng,,,
305,HAH - CÔNG TY CỔ PHẦN VẬN TẢI VÀ XẾP DỠ HẢI AN,"HAIANTS.,JSC",Công ty cổ phần,Lĩnh vực khác,1688612120000.0,www.haiants.vn,02439877515,02439444022,"Tầng 7, số 45, phố Triệu Việt Vương, phường Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",,,,
306,HAHC - Công ty TNHH Hải An Huy,HAI AN HUY,Công ty trách nhiệm hữu hạn,Bất động sản,655100000000.0,none,02976592525,0,"Tổ 5, ấp 4 Vũng Bầu, Xã Cửa Cạn, Thành phố Phú Quốc, Tỉnh Kiên Giang, Việt Nam",Đặng Nam Phong,,,
307,HAIC - CTCP ĐẦU TƯ CÔNG NGHỆ VÀ GIÁO DỤC HẢI AN,"HAI AN ITE.,JSC (HNX)",Công ty cổ phần,Lĩnh vực khác,100000000000.0,.,0915858504,0,"Tầng 4-K3 CT2, 536A Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",,,,
308,HAJC - Công ty cổ phần Hội An Invest,HAJ,Công ty cổ phần,Bất động sản,3512501680000.0,Chưa có,02862525252,02862525252,"Số 8 Đỗ Thế Chấp, Phường An Sơn, Thành phố Tam Kỳ, Tỉnh Quảng Nam",Lưu Đức Khang; Ngô Thế Mẫn,,,
309,HAR - Công ty cổ phần đầu tư thương mại bất động sản An Dương Thảo Điền,Công ty CP An Dương Thảo Điền,Công ty cổ phần,Bất động sản,1013501000000.0,www.adtdgroup.com,02862754816,02862754816,"SỐ 2 NGÔ ĐỨC KẾ, PHƯỜNG BẾN NGHÉ, QUẬN 1, THÀNH PHỐ HỒ CHÍ MINH, VIỆT NAM",,,,
310,HAX - CÔNG TY CỔ PHẦN DỊCH VỤ Ô TÔ HÀNG XANH,HAXACO,Công ty cổ phần,"Thương mại, dịch vụ",1074396810000.0,http://www.haxaco.com.vn/,02838983416,02835120025,Số 333 Điện Biên Phủ - P. 15 - Q. Bình Thạnh - Tp. Hồ Chí Minh,Đỗ Tiến Dũng,,,
311,HBC - Công ty Cổ Phần Tập Đoàn Xây Dựng Hòa Bình,HBC,Công ty cổ phần,Xây dựng,3472132700000.0,www.hbcg.vn,(028) 39325030,(028) 39302097,"235 Võ Thị Sáu, Phường Xuân Hòa, TP.Hồ Chí Minh (Địa chỉ gửi thư: 123 nguyễn đình chiểu, Phường Xuân Hòa, TP.HCM)",LÊ VIẾT HẢI,,,
312,HBDC - Công ty TNHH Đầu tư Gia sản IWEALTH (tên cũ: Công ty TNHH mua bán nợ Hòa Bình),"IWEALTH CO., LTD",Công ty trách nhiệm hữu hạn,Lĩnh vực khác,100000000000.0,https://hbdc.com.vn/,09830114018,09830114018,"103A, Hùng Vương, Phường 2, thành phố Tân An, tỉnh Long An",Phan Thị Thu Thảo,,,
313,HBXC - Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,"HB-XM CO.,LTD",Công ty trách nhiệm hữu hạn,Lĩnh vực khác,477011000000.0,Không có,0972196398,0,"Xóm Dụ Phượng, Phường Kỳ Sơn, Tỉnh Phú Thọ, Việt Nam",PHẠM MẠNH HÙNG,,,
314,HC3C - CTCP XÂY DỰNG SỐ 3 HÀ NỘI,HANCO3,Công ty cổ phần,Xây dựng,500000000000.0,Chưa có,02437720964,02437720968,"14 Láng Hạ, phường Thành Công, quận Ba Đình, Hà Nội",ĐẶNG THỊ HÀ NGUYÊN,,,
315,HCGC - Công ty Cổ phần Tập đoàn Địa ốc Hoàng Cát,HCGC,Công ty cổ phần,Bất động sản,550000000000.0,hoangcatgroup.com,0886666999,0,"Quốc lộ 14, Khu Phố Hiếu Cảm, Phường Hưng Long, thị xã Chơn Thành, tỉnh Bình Phước",NGUYỄN PHƯỚC THÀNH NHÂN,,,
316,HCMC - CÔNG TY TNHH HOÀNG TRÚC MY,"HOANG TRUC MY CO., LTD",Công ty trách nhiệm hữu hạn,Bất động sản,400000000000.0,https://hoangtrucmy.com,0868699999,2746269689,"Số 324/24, đường Lê Hồng Phong, Tổ 3, Khu phố 4, Phường Phú Hòa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",Đỗ Văn Bình,Công ty cổ phần FiinRatings (FiinRatings),B,17/05/2024
317,HCSC - Công ty cổ phần Hoàn Cầu Solar LA,Công ty cổ phần Hoàn Cầu Solar LA,Công ty cổ phần,Xây dựng,250000000000.0,khongco,0904477038,0904477038,"Ấp 03, xã Bình Hòa Nam, huyện Đức Huệ, tỉnh Long An",Trương Cao Hải,,,
318,HCVC - CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HOME CREDIT VIỆT NAM,HOME CREDIT VIỆT NAM,Công ty trách nhiệm hữu hạn,Tổ chức tín dụng,2050000000000.0,https://www.homecredit.vn/,02835136868,0,"Tầng G, 8 và 10 Tòa nhà Phụ Nữ, số 20 Nguyễn Đăng Giai, P. An Khánh, Tp. Hồ Chí Minh",Annica Maria Witschard; Jakub Kudrna; PHAM NGOC KHANG,Công ty cổ phần FiinRatings (FiinRatings),A,25/04/2026
319,HD2C - Công ty TNHH Điện gió Hòa Đông 2,HD2C,Công ty trách nhiệm hữu hạn,Sản xuất,390000000000.0,0,02993992666,0,"Thửa đất số 328, tờ bản đồ số 8, ấp Lẫm Thiết, Phường Khánh Hòa, TP Cần Thơ",,,,
320,HDAC - CÔNG TY CỔ PHẦN TẬP ĐOÀN XUÂN THIỆN,CÔNG TY CỔ PHẦN TẬP ĐOÀN XUÂN THIỆN,Công ty cổ phần,Sản xuất,5770000000000.0,www.xuanthienvietnam.vn,02293886886,02293886986,"tòa nhà Xuân Thiện, KĐT Xuân Thành, phường Hoa Lư, tỉnh Ninh Bình",Nguyễn Huy Hoàng,,,
321,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBANK,Công ty cổ phần,Tổ chức tín dụng,50052763230000.0,https://www.hdbank.com.vn/vi/,028 62 915 916,028 62 915 893,"Số 25Bis, Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",NGUYỄN HỮU ĐẶNG; PHẠM QUỐC THANH,Công ty cổ phần FiinRatings (FiinRatings),A,29/03/2026
322,HDC - CÔNG TY CP PHÁT TRIỂN NHÀ BÀ RỊA- VŨNG TÀU,HODECO,Công ty cổ phần,Bất động sản,1783549660000.0,hodeco.vn,02543856274,02543856205,"TẦNG 3- TÒA NHÀ HODECO PLAZA, SỐ 36 NGUYỄN THÁI HỌC, PHƯỜNG TAM THẮNG, TP. HỒ CHÍ MINH",Đoàn Hữu Thuận,,,
323,HDEC - Công ty cổ phần phân phối HDE,HDEC,Công ty cổ phần,"Thương mại, dịch vụ",250000000000.0,http://hyundaielectronics.com.vn/,0936712222,04 35 77 77 99,"Tầng 8, 107 Nguyễn Phong Sắc, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội, Viêt·",Bùi Thanh Sơn,,,
324,HDG - Công ty Cổ phần Tập đoàn Hà Đô,HaDo Group,Công ty cổ phần,Bất động sản,1542750180000.0,https://hado.com.vn/,0243831 0347,0243835 5526,Số 8- Láng Hạ- Ba Đình- Hà Nội,,,,
